Rank;Symbol;Company Name;Price;Change %;Quant Rating;SA Analyst Ratings;Wall Street Ratings;Valuation;Growth;Profitability;Momentum;EPS Rev.
76;ADRNY;Koninklijke Ahold Delhaize N.V.;40,8;-0,12%;4,80;4,00;3,50;B+;C;A;B+;A
77;ATI;ATI Inc.;94,99;1,84%;4,80;4,00;4,41;C-;A;C-;A+;B+
78;AEM;Agnico Eagle Mines Limited;126,85;0,84%;4,79;4,00;4,05;D;B;A+;B+;A
79;IBDRY;Iberdrola, S.A.;72,43;0,85%;4,79;4,00;5,00;B-;C-;A+;A-;A+
80;OMAB;Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.;107,49;-1,02%;4,79;4,00;3,55;B;A;B-;A;A
81;FUBO;fuboTV Inc.;3,68;2,22%;4,78;3,80;3,57;C;B;D+;A;A
82;NHI;National Health Investors, Inc.;71,1;-0,06%;4,78;4,00;4,42;C+;C;A;B-;A+
83;BUD;Anheuser-Busch InBev SA/NV;70,2;0,16%;4,78;3,80;4,23;C-;B;A+;A-;A-
84;GTX;Garrett Motion Inc.;12,94;6,15%;4,78;4,00;4,00;B+;C+;B;A;A
85;ZS;Zscaler, Inc.;286,185;0,66%;4,77;3,80;4,21;D;B;A;A-;A-
86;ASAIY;Sendas Distribuidora S.A.;8,89;1,25%;4,77;4,00;4,00;A+;A;C-;A;A+
87;CX;CEMEX, S.A.B. de C.V.;8,41;1,94%;4,77;3,50;3,78;A;A;B;A-;B+
88;PKX;POSCO Holdings Inc.;60,07;0,00%;4,77;4,00;5,00;B+;A-;A;B;A
89;ENVA;Enova International, Inc.;105,82;-5,30%;4,77;4,00;4,50;A;B+;B-;B+;B+
90;BEVFF;Diversified Royalty Corp.;2,3965;-2,18%;4,76;3,50;4,00;A-;B-;A+;B+;A
91;NWG;NatWest Group plc;14,14;4,20%;4,76;3,66;4,00;B+;A;B;A;B+
92;BAP;Credicorp Ltd.;235,85;-0,54%;4,75;3,50;4,25;A-;B;B+;A;B
93;PAAS;Pan American Silver Corp.;29,14;-0,44%;4,75;3,50;4,14;D+;A+;A;B;A+
94;KIM;Kimco Realty Corporation;21,78;-0,91%;4,75;3,66;3,62;C+;B-;B+;B;A
95;CALX;Calix, Inc.;55,29;-0,04%;4,74;3,50;4,28;C;B+;C+;A-;A+
96;DAN;Dana Incorporated;16,27;-0,49%;4,73;4,00;4,00;B+;C;C+;A-;A+
