Rank;Symbol;Company Name;Price;Change %;Quant Rating;SA Analyst Ratings;Wall Street Ratings;Valuation;Growth;Profitability;Momentum;EPS Rev.;Zacks_Rank;Zacks_Rating;Last_Updated
63;QXO;QXO, Inc.;22,19;1,32%;4,83;3,66;4,85;C-;A+;A-;A;A;2;Buy;2025-07-27 12:26:23
64;URBN;Urban Outfitters, Inc.;75,61;3,05%;4,83;4,00;3,57;C+;C;C+;A+;A+;3;Hold;2025-07-27 12:26:25
65;ALAB;Astera Labs, Inc.;122,23;0,45%;4,83;3,87;4,35;C-;A+;B-;A;B+;3;Hold;2025-07-27 12:26:28
66;OPFI;OppFi Inc.;11,27;0,18%;4,82;3,81;4,00;A-;A-;D;A+;B+;3;Hold;2025-07-27 12:26:31
67;HST;Host Hotels & Resorts, Inc.;16,55;0,73%;4,82;4,00;4,11;B+;A-;B+;B+;A;3;Hold;2025-07-27 12:26:35
68;XOM;Exxon Mobil Corporation;110,4;-0,35%;4,82;4,07;3,88;D+;C-;A+;C+;A-;3;Hold;2025-07-27 12:26:37
69;SE;Sea Limited;157,71;-0,10%;4,81;3,70;4,42;D;A+;B+;A;B+;4;Sell;2025-07-27 12:26:40
70;UAMY;United States Antimony Corporation;3,35;-6,94%;4,81;4,00;4,75;D;B-;D+;A+;B;2;Buy;2025-07-27 12:26:43
71;KD;Kyndryl Holdings, Inc.;39,12;2,11%;4,81;4,33;4,50;A+;A;B+;B;A+;3;Hold;2025-07-27 12:26:46
72;MOS;The Mosaic Company;36,9;-1,31%;4,81;4,00;4,05;C;B;B+;B+;A+;3;Hold;2025-07-27 12:26:49
73;B;Barrick Mining Corporation;21,74;0,93%;4,80;4,50;4,00;A-;A-;A+;B-;A-;1;Strong Buy;2025-07-27 12:26:52
74;IFS;Intercorp Financial Services Inc.;36,35;-1,36%;4,80;4,00;4,33;A-;A+;D;A;B+;3;Hold;2025-07-27 12:26:55
75;OPRT;Oportun Financial Corporation;6,36;0,95%;4,80;4,00;4,00;A+;B;C+;A+;B-;1;Strong Buy;2025-07-27 12:26:57
76;ADRNY;Koninklijke Ahold Delhaize N.V.;40,8;-0,12%;4,80;4,00;3,50;B+;C;A;B+;A;1;Strong Buy;2025-07-27 12:27:01
77;ATI;ATI Inc.;94,99;1,84%;4,80;4,00;4,41;C-;A;C-;A+;B+;2;Buy;2025-07-27 12:27:04
78;AEM;Agnico Eagle Mines Limited;126,85;0,84%;4,79;4,00;4,05;D;B;A+;B+;A;1;Strong Buy;2025-07-27 12:27:07
79;IBDRY;Iberdrola, S.A.;72,43;0,85%;4,79;4,00;5,00;B-;C-;A+;A-;A+;1;Strong Buy;2025-07-27 12:27:10
80;OMAB;Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.;107,49;-1,02%;4,79;4,00;3,55;B;A;B-;A;A;1;Strong Buy;2025-07-27 12:27:13
81;FUBO;fuboTV Inc.;3,68;2,22%;4,78;3,80;3,57;C;B;D+;A;A;3;Hold;2025-07-27 12:27:16
82;NHI;National Health Investors, Inc.;71,1;-0,06%;4,78;4,00;4,42;C+;C;A;B-;A+;3;Hold;2025-07-27 12:27:19
83;BUD;Anheuser-Busch InBev SA/NV;70,2;0,16%;4,78;3,80;4,23;C-;B;A+;A-;A-;3;Hold;2025-07-27 12:27:22
84;GTX;Garrett Motion Inc.;12,94;6,15%;4,78;4,00;4,00;B+;C+;B;A;A;2;Buy;2025-07-27 12:27:25
85;ZS;Zscaler, Inc.;286,185;0,66%;4,77;3,80;4,21;D;B;A;A-;A-;3;Hold;2025-07-27 12:27:28
86;ASAIY;Sendas Distribuidora S.A.;8,89;1,25%;4,77;4,00;4,00;A+;A;C-;A;A+;3;Hold;2025-07-27 12:27:31
87;CX;CEMEX, S.A.B. de C.V.;8,41;1,94%;4,77;3,50;3,78;A;A;B;A-;B+;4;Sell;2025-07-27 12:27:34
88;PKX;POSCO Holdings Inc.;60,07;0,00%;4,77;4,00;5,00;B+;A-;A;B;A;3;Hold;2025-07-27 12:27:37
89;ENVA;Enova International, Inc.;105,82;-5,30%;4,77;4,00;4,50;A;B+;B-;B+;B+;2;Buy;2025-07-27 12:27:40
90;BEVFF;Diversified Royalty Corp.;2,3965;-2,18%;4,76;3,50;4,00;A-;B-;A+;B+;A;NR;Not Rated;2025-07-27 12:27:43
91;NWG;NatWest Group plc;14,14;4,20%;4,76;3,66;4,00;B+;A;B;A;B+;2;Buy;2025-07-27 12:27:46
92;BAP;Credicorp Ltd.;235,85;-0,54%;4,75;3,50;4,25;A-;B;B+;A;B;3;Hold;2025-07-27 12:27:48
93;PAAS;Pan American Silver Corp.;29,14;-0,44%;4,75;3,50;4,14;D+;A+;A;B;A+;1;Strong Buy;2025-07-27 12:27:51
94;KIM;Kimco Realty Corporation;21,78;-0,91%;4,75;3,66;3,62;C+;B-;B+;B;A;3;Hold;2025-07-27 12:27:54
95;CALX;Calix, Inc.;55,29;-0,04%;4,74;3,50;4,28;C;B+;C+;A-;A+;1;Strong Buy;2025-07-27 12:27:57
96;DAN;Dana Incorporated;16,27;-0,49%;4,73;4,00;4,00;B+;C;C+;A-;A+;3;Hold;2025-07-27 12:28:00
97;KINS;Kingstone Companies, Inc.;15,8;0,19%;4,73;4,00;5,00;A;C;B+;A;A;2;Buy;2025-07-27 12:28:03
98;DXPE;DXP Enterprises, Inc.;108,17;2,29%;4,73;3,50;5,00;B-;C+;D+;A;A+;2;Buy;2025-07-27 12:28:06
99;PRIM;Primoris Services Corporation;92,83;3,22%;4,72;4,00;4,60;C-;B;B-;A;A+;1;Strong Buy;2025-07-27 12:28:09
100;DLTR;Dollar Tree, Inc.;114,41;0,18%;4,72;3,66;3,66;C-;C-;B+;A+;A-;3;Hold;2025-07-27 12:28:12
101;NPKI;NPK International Inc.;9,03;-0,11%;4,72;4,00;4,50;C;B;A+;A-;A;3;Hold;2025-07-27 12:28:15
102;BPOP;Popular, Inc.;115,33;0,84%;4,71;3,50;4,12;C+;A-;C+;B+;A;2;Buy;2025-07-27 12:28:18
103;AEG;Aegon Ltd.;7,27;0,14%;4,71;4,00;4,00;C;C;B-;B;A;2;Buy;2025-07-27 12:28:21
104;ALLY;Ally Financial Inc.;38,54;0,42%;4,71;3,75;3,80;A;A+;A-;C+;B;3;Hold;2025-07-27 12:28:24
105;EPRT;Essential Properties Realty Trust, Inc.;30,62;0,23%;4,71;3,50;4,44;C;A;A+;C+;A-;4;Sell;2025-07-27 12:28:27
106;HG;Hamilton Insurance Group, Ltd.;21,55;1,27%;4,71;4,00;3,83;A+;C;B;B+;B-;3;Hold;2025-07-27 12:28:30
