Rank;Symbol;Company Name;Price;Change %;Quant Rating;SA Analyst Ratings;Wall Street Ratings;Valuation;Growth;Profitability;Momentum;EPS Rev.
20;TTMI;TTM Technologies, Inc.;69,89;4,75%;4,94;4,00;4,75;C;B-;C-;A+;B+
21;BRK.A;Berkshire Hathaway Inc.;744500,1;-0,51%;4,94;3,84;3,50;D+;C-;A+;B-;A
22;DB;Deutsche Bank Aktiengesellschaft;37,83;3,70%;4,93;4,00;5,00;A-;A+;A+;A+;A+
23;INCY;Incyte Corporation;105,98;0,00%;4,93;4,33;3,61;A-;A+;A+;A-;A
24;AU;AngloGold Ashanti plc;74,1;6,76%;4,93;4,00;4,00;C;A;A+;A;A
25;BKTI;BK Technologies Corporation;76,2;1,13%;4,93;3,50;5,00;C+;C+;A;A+;A
26;GM;General Motors Company;71,05;0,42%;4,92;3,50;3,92;B-;C+;A+;A;A-
27;AXIA;Centrais Elétricas Brasileiras S.A. - Eletrobrás;11,16;1,18%;4,92;4,00;5,00;A+;A+;B;A+;A
28;BDTX;Black Diamond Therapeutics, Inc.;4,36;12,08%;4,92;4,00;4,75;B+;C+;A+;A;A-
29;GRAL;GRAIL, Inc.;85,11;7,19%;4,92;3,66;3,50;B;C;D+;A+;B-
30;KGC;Kinross Gold Corporation;25,44;4,56%;4,92;4,25;4,11;C-;A-;A+;A-;A+
31;PTCT;PTC Therapeutics, Inc.;72,48;0,98%;4,91;3,50;3,93;A-;B;A+;A-;A-
32;GLXY;Galaxy Digital Inc.;31,79;0,73%;4,91;3,50;4,50;B-;A+;A;A+;A+
33;AXIAPR;Centrais Elétricas Brasileiras S.A. - Eletrobrás;8,83;1,38%;4,91;4,00;5,00;A+;A+;B;A+;A+
34;ZBIO;Zenas BioPharma, Inc.;32,47;-3,39%;4,91;4,00;4,71;D;B;C-;A+;B
35;QURE;uniQure N.V.;26,15;-5,90%;4,90;4,00;4,50;B-;B;C+;A+;B
36;TM;Toyota Motor Corporation;203,94;0,97%;4,90;3,75;3,66;B+;C-;A+;B+;A
37;NXT;Nextracker Inc.;107,43;2,68%;4,90;3,66;4,21;D+;C-;A;A+;B
38;DRD;DRDGOLD Limited;27,11;3,71%;4,90;3,50;4,00;D+;B-;A-;A+;A+
39;AREN;The Arena Group Holdings, Inc.;4,87;2,74%;4,90;4,00;5,00;B-;A;B-;A+;A+
40;IRS;IRSA Inversiones y Representaciones Sociedad Anónima;15,05;0,40%;4,90;4,00;4,50;A+;A+;A+;B+;C-
41;PFE;Pfizer Inc.;24,39;-0,16%;4,89;3,70;3,52;A-;A;A+;C;B+
42;ATRO;Astronics Corporation;47,83;1,81%;4,89;4,00;4,66;C-;A-;C-;A+;A+
43;PRE;Prenetics Global Limited;11,89;-3,65%;4,89;4,00;5,00;A-;A-;D+;A+;A-
44;HRTG;Heritage Insurance Holdings, Inc.;28,91;-2,13%;4,89;4,00;4,00;A-;B+;B;A+;A-
45;KB;KB Financial Group Inc.;88,32;4,61%;4,88;4,00;5,00;B+;B+;A+;A;B+
46;ALL;The Allstate Corporation;203,89;0,79%;4,88;3,66;4,13;B-;A+;A;C+;A
47;B;Barrick Mining Corporation;34,8;5,17%;4,88;3,57;4,13;C+;A-;A+;A-;B+
48;THG;The Hanover Insurance Group, Inc.;181,5;1,08%;4,87;4,00;4,00;B+;A+;B+;B+;A-
49;ESEA;Euroseas Ltd.;58,83;1,59%;4,87;4,00;4,66;A+;C;D;A;A-
50;GTX;Garrett Motion Inc.;17,51;-0,23%;4,87;4,00;4,00;C+;A-;A;A+;A-
51;UBER;Uber Technologies, Inc.;94,1;2,29%;4,87;3,86;4,43;C+;A;A+;B;A-
52;MRP;Millrose Properties, Inc.;31,67;-0,50%;4,86;3,50;4,75;A-;C-;C-;A;A+
53;OUST;Ouster, Inc.;25,67;-0,16%;4,86;3,71;4,66;D;B-;D;A;A
54;BBVA;Banco Bilbao Vizcaya Argentaria, S.A.;21,1;3,33%;4,85;4,00;4,00;C;A-;A-;A+;B+
55;KT;KT Corporation;18,1;-0,60%;4,85;4,00;4,50;A;A+;B;B-;A+
56;ARQT;Arcutis Biotherapeutics, Inc.;23,75;-1,98%;4,84;4,00;4,37;D;A-;B;A;A+
57;SMFG;Sumitomo Mitsui Financial Group, Inc.;16,47;1,04%;4,84;4,00;5,00;C;A+;A+;B+;A
58;GNW;Genworth Financial, Inc.;8,63;-0,46%;4,84;4,00;4,00;A;A;B;A-;B+
59;UVE;Universal Insurance Holdings, Inc.;34,58;2,89%;4,83;3,50;4,00;B-;C+;B;A+;B
60;KBCSY;KBC Group NV;62,3325;2,72%;4,83;4,00;5,00;C+;A-;A+;A+;B+
61;CSTM;Constellium SE;16,22;2,46%;4,83;4,00;4,25;A-;A;C+;B;A
62;OHI;Omega Healthcare Investors, Inc.;43,92;0,87%;4,83;4,00;3,82;B-;C;A;A;A+
63;TVTX;Travere Therapeutics, Inc.;34,38;6,31%;4,83;4,00;4,64;D;B+;C+;A;A+
64;PUK;Prudential plc;28,74;0,63%;4,82;3,50;4,66;D+;A+;B+;A+;A+
65;BRK.B;Berkshire Hathaway Inc.;496,98;-0,42%;4,82;3,84;4,25;D+;C-;A+;B-;C+
66;HBM;Hudbay Minerals Inc.;16,86;4,53%;4,82;3,50;4,56;C+;A;A;A;B+
67;HNHPF;Hon Hai Precision Industry Co., Ltd.;16,13;4,06%;4,82;4,00;4,00;B+;C+;A-;B+;A-
68;OMF;OneMain Holdings, Inc.;59,95;1,35%;4,82;4,33;4,12;A;A-;B+;B+;B
69;IBDSF;Iberdrola, S.A.;20,57;-0,10%;4,82;4,00;5,00;C;B;A+;A-;A+
70;IBDRY;Iberdrola, S.A.;81,7;-0,10%;4,81;4,00;4,00;C;B+;A+;A-;A
71;DGICA;Donegal Group Inc.;19,45;1,09%;4,81;4,00;4,00;B+;A+;B-;A-;A-
72;MRK;Merck & Co., Inc.;86,75;0,54%;4,81;4,33;3,96;B;A;A+;C+;B+
73;RCUS;Arcus Biosciences, Inc.;19,46;0,78%;4,81;4,00;4,45;D+;C-;C-;A;A
74;HCI;HCI Group, Inc.;188,6;3,97%;4,81;4,00;4,80;C-;B+;A+;A+;A
75;WLDN;Willdan Group, Inc.;94,17;3,55%;4,80;3,83;5,00;C-;A;B-;A+;A
76;OPRX;OptimizeRx Corporation;16,51;5,50%;4,80;4,00;4,57;D+;A;A-;A;A
77;VIAV;Viavi Solutions Inc.;18,16;1,97%;4,80;4,00;4,62;D;B;B-;A;A
78;CENX;Century Aluminum Company;32,31;-2,24%;4,80;4,00;5,00;D+;A;C+;B+;A-
79;AUPH;Aurinia Pharmaceuticals Inc.;14,89;1,92%;4,79;4,00;4,50;C;A;A+;A;A+
80;PROSY;Prosus N.V.;14,3634;4,31%;4,79;4,50;5,00;C-;A;A-;A+;A
81;AER;AerCap Holdings N.V.;136,27;2,50%;4,79;4,00;4,50;B+;B-;A+;A-;A+
82;BTE;Baytex Energy Corp.;2,59;2,78%;4,79;4,50;3,54;B+;C;B-;B+;A
